DEPTH_INTERVAL,GR_count,GR_mean,GR_median,GR_std,GR_min,GR_max,VSH_GR_LINEAR_count,VSH_GR_LINEAR_mean,VSH_GR_LINEAR_median,VSH_GR_LINEAR_std,VSH_GR_LINEAR_min,VSH_GR_LINEAR_max,RHOB_count,RHOB_mean,RHOB_median,RHOB_std,RHOB_min,RHOB_max,VP_MPS_count,VP_MPS_mean,VP_MPS_median,VP_MPS_std,VP_MPS_min,VP_MPS_max,VS_MPS_count,VS_MPS_mean,VS_MPS_median,VS_MPS_std,VS_MPS_min,VS_MPS_max,AI_count,AI_mean,AI_median,AI_std,AI_min,AI_max,SI_count,SI_mean,SI_median,SI_std,SI_min,SI_max,VP_VS_RATIO_count,VP_VS_RATIO_mean,VP_VS_RATIO_median,VP_VS_RATIO_std,VP_VS_RATIO_min,VP_VS_RATIO_max,POISSON_RATIO_count,POISSON_RATIO_mean,POISSON_RATIO_median,POISSON_RATIO_std,POISSON_RATIO_min,POISSON_RATIO_max,YOUNG_MODULUS_PA_count,YOUNG_MODULUS_PA_mean,YOUNG_MODULUS_PA_median,YOUNG_MODULUS_PA_std,YOUNG_MODULUS_PA_min,YOUNG_MODULUS_PA_max,RDEP_count,RDEP_mean,RDEP_median,RDEP_std,RDEP_min,RDEP_max,QC_FLAG_COUNT_count,QC_FLAG_COUNT_mean,QC_FLAG_COUNT_median,QC_FLAG_COUNT_std,QC_FLAG_COUNT_min,QC_FLAG_COUNT_max,FEATURE_QC_FLAG_COUNT_count,FEATURE_QC_FLAG_COUNT_mean,FEATURE_QC_FLAG_COUNT_median,FEATURE_QC_FLAG_COUNT_std,FEATURE_QC_FLAG_COUNT_min,FEATURE_QC_FLAG_COUNT_max
"(1050.0, 1100.0]",329,87.45259770212158,88.92024231,10.457459127077065,61.232509613,113.17604065,329,0.5235988221761816,0.5420041072668537,0.13114381746418555,0.19478066429773563,0.8461887042415264,0,,,,,,329,2128.631982451262,2157.1348427327794,98.57092590423427,1923.1768768024526,2305.6452684361016,329,863.0084520836687,863.8770093893918,18.575184965470434,816.5603107269874,924.6813230225816,0,,,,,,0,,,,,,329,2.4664438672278592,2.469950891832709,0.10010957142723464,2.1980991446137033,2.6452060557902946,329,0.40087934413908616,0.4019734202870798,0.00998858398265838,0.36950756865666107,0.4166265790249002,0,,,,,,329,1.2512170507544074,1.2660946846,0.17565265420448353,0.8525083661,1.5586060286,329,0.0,0.0,0.0,0,0,329,0.0,0.0,0.0,0,0
"(1100.0, 1150.0]",329,102.06842210297265,102.59655762,10.962313081712248,76.854904175,128.3327179,329,0.7065774698390537,0.7135146220871584,0.1367701721982865,0.39069636771058364,1.0,0,,,,,,329,2206.410350307014,2190.4281337463817,94.33870644577219,2030.4488249484918,2436.870560381713,329,852.3869391162543,854.4062028450618,39.19700195315343,768.1194280118661,941.311104322994,0,,,,,,0,,,,,,329,2.5910119272170977,2.602499172845239,0.1039489719578946,2.342613942072026,2.8469724413650277,329,0.41186666687879714,0.4133899477614962,0.008410160435710296,0.3885878304685874,0.42962951993297,0,,,,,,329,1.2838293995142858,1.2871681452,0.1394714397226962,1.0059144497,1.7186083794,329,0.0,0.0,0.0,0,0,329,0.0,0.0,0.0,0,0
"(1150.0, 1200.0]",329,111.55918059875077,112.66352081,10.457537444045382,58.581935883,133.79377747,329,0.8233034221630798,0.8397613486547661,0.12698505936350662,0.16154062451384185,1.0,0,,,,,,329,2209.7396747778057,2217.70554199604,57.63270233124268,1993.3178248528454,2335.456596943638,329,807.8015536861839,806.534914491183,29.78343416938114,731.3955770381931,886.3448380115042,0,,,,,,0,,,,,,329,2.7383529214411397,2.7250444325947774,0.10359545847867407,2.4943444264974635,3.0069948629500978,329,0.422607491776364,0.422189490137251,0.006656073300937742,0.4042467361156396,0.43782655131814746,0,,,,,,329,1.2995676367455928,1.289075613,0.15863885904904393,0.9238599539,2.216063261,329,0.1276595744680851,0.0,0.48964365425008755,0,2,329,0.0,0.0,0.0,0,0
"(1200.0, 1250.0]",329,106.64178267358359,106.11875916,8.958062089656758,85.992004395,133.97210693,329,0.7627161887832022,0.7576854813963586,0.10848957446022048,0.5052819653057973,1.0,0,,,,,,329,2172.64876367421,2160.173502788469,60.88816812618965,2087.5276756002004,2329.016674330191,329,844.1537753083305,844.4832408677302,22.21987153418082,770.8729909118438,909.2003992398463,0,,,,,,0,,,,,,329,2.5746743084241306,2.5654363736854497,0.07307875737544921,2.378168652457099,2.8290406474202014,329,0.41086953476152366,0.4104177651163488,0.005795917536547629,0.3926044443256827,0.4286068292296294,0,,,,,,329,1.2633260810987843,1.2405508757,0.14576670171297368,0.8485833406,2.1516337395,329,0.0,0.0,0.0,0,0,329,0.0,0.0,0.0,0,0
"(1250.0, 1300.0]",329,103.65890247839818,104.54497528,10.010823549351125,70.383834839,132.62260437,329,0.7265237788158848,0.7379491359439155,0.12475531540990935,0.309544653370996,1.0,0,,,,,,329,2140.1614210827424,2144.843409446526,35.51592201895901,2044.0686635170669,2213.989269232016,329,818.4999688589729,821.2409102978697,22.01466459140647,745.9429229737549,869.4339118119254,0,,,,,,0,,,,,,329,2.616097834521155,2.6108301842544264,0.06368071215871732,2.4582404306773,2.845484529828826,329,0.4142260466412535,0.41403667979005637,0.004830009358729395,0.4008516056862127,0.42954553412516694,0,,,,,,329,1.067311630061398,1.0722770691,0.07865567497853555,0.8734365702,1.3067528009,329,0.0425531914893617,0.0,0.28904940563828235,0,2,329,0.0,0.0,0.0,0,0
"(1300.0, 1350.0]",329,68.62469036025531,68.452384949,9.685166974278161,39.758766174,96.79624939,329,0.28780013185810205,0.28532292716223395,0.12062879012088508,0.0,0.6407747189703918,0,,,,,,329,1966.3093701671996,1956.640749074346,44.42747480790471,1856.5061215642556,2150.041670801979,329,748.1910356036301,744.3708281482342,23.835993152018116,701.3266218885791,842.6225146068927,0,,,,,,0,,,,,,329,2.6302534788537453,2.6440665709155953,0.0888725763707311,2.323225142464312,2.829695004423776,329,0.4150773735289326,0.41654270520201714,0.0071483230195164395,0.3862958030905752,0.4286445558534229,0,,,,,,329,0.7041201234595744,0.6823227406,0.07498205774956845,0.5853490233,0.9494057894,329,1.465045592705167,2.0,0.8866352267725394,0,2,329,0.0,0.0,0.0,0,0
"(1350.0, 1400.0]",329,71.28414523925836,69.614906311,9.924401045528016,47.096466064,106.19421387,329,0.32083517254566585,0.29990175433657035,0.1244588980306042,0.017504837318338504,0.7586317359879191,0,,,,,,329,1965.433017826972,1960.078801992104,41.48135307680805,1872.8744490265594,2116.440157892219,329,739.0996780497375,738.295264994955,20.57103234983448,694.1613415578279,821.8370642789176,0,,,,,,0,,,,,,329,2.6612390395123766,2.6574754666554483,0.09155888668451591,2.4019727679559724,2.9156405481819454,329,0.4173739455872379,0.41752136330466405,0.006715444195985795,0.39516661875652914,0.43334186385233814,0,,,,,,329,0.6815389249820668,0.6526172161,0.10236258166836804,0.5512046218,1.0935412645,329,1.7750759878419453,2.0,0.6328305149656246,0,2,329,0.0,0.0,0.0,0,0
"(1400.0, 1450.0]",329,87.7067354428541,86.934387207,8.761110554883171,68.663017273,119.46767426,329,0.5267858863641821,0.5171001018126199,0.1098704254476287,0.28796440313790267,0.9250901696620273,0,,,,,,329,1988.0233770643529,1989.945240855955,33.2793146550244,1873.6359809037997,2077.6839379633147,329,744.0353858490143,742.2308661592289,19.39273599221427,705.0632088396429,824.1524178718773,0,,,,,,0,,,,,,329,2.6738755708052735,2.6907458972289606,0.08608295639962235,2.3614469233705435,2.845132970916563,329,0.418313343917044,0.4198732520929726,0.00656492202351496,0.3907445698367934,0.4295256673671652,0,,,,,,329,0.7250927445741642,0.7069864273,0.06406944817052919,0.6333605051,1.0763905048,329,1.7082066869300911,2.0,0.7070805702040093,0,2,329,0.0,0.0,0.0,0,0
"(1450.0, 1500.0]",328,82.4521206646372,81.73166275049999,9.943865872378607,61.584854126,120.34088135,328,0.4608893590199054,0.45185431522637115,0.12470300050984381,0.19919930977708883,0.9360407944579572,0,,,,,,328,2033.3362458841893,2032.279932216856,55.48414776552663,1873.0317991509507,2127.431209156582,328,764.2802873141022,762.8689365790511,22.216634905272603,712.2069167191919,816.0976641771831,0,,,,,,0,,,,,,328,2.661514925601711,2.670705630825674,0.07007559101132874,2.452056698086217,2.858575771677264,328,0.4175635459099173,0.41846942327556036,0.005214452212811895,0.400251009370069,0.4302791457027784,0,,,,,,328,0.7218393077378049,0.73436024785,0.08700982578527036,0.4939761162,0.931771934,328,0.9634146341463414,0.0,1.0008573933095428,0,2,328,0.0,0.0,0.0,0,0
"(1500.0, 1550.0]",329,87.5662543346383,87.684898376,8.695661403634464,67.545265198,120.77883148,329,0.5250241554705544,0.5265120343438522,0.1090496475282275,0.2739470139889014,0.9415329939692536,0,,,,,,329,2156.8160018460253,2168.7197517825957,103.03462736571329,1896.1585920724144,2387.6386336047476,329,851.0485235614078,866.9826779483227,43.67713308513996,742.1310976875225,919.6662173592907,0,,,,,,0,,,,,,329,2.536544494306108,2.546168327435884,0.09469189890999134,2.2916552978568334,2.776901479163249,329,0.4074092834929581,0.40880859960974625,0.008369050056625965,0.38239953874591065,0.42549747376252,0,,,,,,329,0.824915366331611,0.8309339285,0.11444718113755831,0.542063117,1.1029314995,329,0.0486322188449848,0.0,0.30852661514278495,0,2,329,0.0,0.0,0.0,0,0
"(1550.0, 1600.0]",329,71.06133459260485,71.434104919,17.939066412625806,31.931461334,112.65074158,329,0.3216452508377034,0.32271577132478085,0.21908066611660895,0.0,0.8396010882142436,0,,,,,,329,2273.7895591890506,2176.641579385664,233.30605620766121,1971.655360027342,2920.2568111166865,284,957.5940820457724,904.3316913876558,147.15462097230653,788.6253098095998,1489.4043477843913,0,,,,,,0,,,,,,284,2.341151276215652,2.3434293064377485,0.15522732911621825,1.8095513789527495,2.7214887081691503,284,0.3857912973611222,0.38868256893028647,0.02118644821875448,0.2801691653122279,0.4219542748074696,0,,,,,,329,0.8607221908835867,0.7315855622,0.33566115575015154,0.5208773613,2.9469347,329,0.0,0.0,0.0,0,0,329,0.0,0.0,0.0,0,0
"(1600.0, 1650.0]",329,79.87728503831916,79.027458191,12.338201620486908,38.38142395,120.27805328,329,0.42914174495846213,0.4179417075051865,0.15305487885414368,0.0,0.9352528867220928,0,,,,,,329,2698.84289885809,2697.768436723882,53.95123882354352,2607.923972068595,2794.0239635286116,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,329,0.7089370297066869,0.6685019732,0.14815028290677207,0.5620478392,1.5998938084,329,0.0,0.0,0.0,0,0,329,0.0,0.0,0.0,0,0
