DEPTH_INTERVAL,DEPTH_MIN,DEPTH_MAX,N_SAMPLES,RHOB_FILL,VP_FILL,VS_FILL,E_FILL,HOMOGENEITY_MEDIAN,ANOMALY_MEDIAN,QUALITY_MEDIAN,VSH_MEDIAN,AI_MEDIAN,VP_MEDIAN,VS_MEDIAN,E_MEDIAN,NU_MEDIAN,ELASTIC_FILL_SCORE,PHYSICS_READY_SCORE
"(2150.0, 2200.0]",2150.1044,2199.9604,329,1.0,1.0,1.0,1.0,0.6160088075443914,0.4033819812652018,0.22503265551880508,1.0,7478701.748403874,3132.1770184161496,1772.295374668055,18850876569.397762,0.2828917817628569,1.0,0.6070807039608782
"(2100.0, 2150.0]",2100.0964,2149.9524,329,1.0,1.0,0.9240121580547113,0.9240121580547113,0.8211100216305873,0.6873129457406062,0.27321582860003923,1.0,6083036.154652005,2669.1514320435854,1740.151481013518,15961087089.328053,0.19896019656569808,0.9620060790273557,0.5973991142577382
"(3150.0, 3200.0]",3150.1124,3199.9684,329,0.8449848024316109,0.364741641337386,0.364741641337386,0.364741641337386,0.44054422468414867,0.4104643388292458,0.874254352268121,0.07971122346966218,7344412.023869953,3302.542051677885,1828.4805591040788,18923656875.89394,0.2786800379731982,0.4848024316109423,0.5966509483817226
"(800.0, 850.0]",800.0404,849.8964,329,0.0,1.0,1.0,0.0,0.8539771141646653,0.2991002763789217,,0.24310341902339086,,1983.7224386185392,780.2477684775589,,0.40818019192312416,0.5,0.579363881363043
"(600.0, 650.0]",600.0084,649.8644,329,0.0,1.0,1.0,0.0,0.83743132470375,0.17736797501520535,,0.61531367667322,,2053.216824482318,860.1373748355279,,0.3929900272495509,0.5,0.5623528685055745
"(850.0, 900.0]",850.0484,899.9044,329,0.0,1.0,1.0,0.0,0.8978503108920812,0.5266923399306327,,0.16838853234615403,,1906.8663567687065,727.5746483047678,,0.414868791346726,0.5,0.5522852565022783
"(1000.0, 1050.0]",1000.0724,1049.9284,329,0.0,1.0,1.0,0.0,0.7659350437941039,0.22983499094838172,,0.45484936895057687,,1967.3337879663572,810.4157763009346,,0.3975243492543341,0.5,0.550031825863792
"(550.0, 600.0]",550.0004,599.8564,329,0.0,1.0,1.0,0.0,0.8017514316024847,0.22604822953299558,,0.6031239271222815,,1965.2927222605902,809.5341279853309,,0.39728541143665114,0.5,0.544915819281794
"(3200.0, 3250.0]",3200.1204,3218.9684,125,0.0,0.0,0.0,0.0,0.9870289483131448,0.009243679939840821,,0.06979487694458324,,,,,,0.0,0.5379290133958597
"(700.0, 750.0]",700.0244,749.8804,329,0.0,1.0,0.9696048632218845,0.0,0.6867170949912428,0.09158599630703596,,0.6758197226919449,,2106.175052991155,974.5802406260946,,0.3705017082478733,0.49240121580547114,0.5335004669588503
"(950.0, 1000.0]",950.0644,999.9204,329,0.0,1.0,1.0,0.0,0.7020439239808947,0.3185617183937911,,0.3832053607397326,,1924.9243222428597,766.5638128019341,,0.40536041736305295,0.5,0.5234781012424923
"(1050.0, 1100.0]",1050.0804,1099.9364,329,0.0,1.0,1.0,0.0,0.7340753483163083,0.28870866559339525,,0.5420041072668537,,2157.1348427327794,863.8770093893918,,0.4019734202870798,0.5,0.5215766932337126
"(650.0, 700.0]",650.0164,699.8724,329,0.0,1.0,1.0,0.0,0.6616738798288164,0.16241432522311575,,0.6361601729438348,,2128.5157068235517,937.74453901115,,0.38311062375882293,0.5,0.5193195876181975
"(2950.0, 3000.0]",2950.0804,2999.9364,329,1.0,1.0,0.9604863221884499,0.9604863221884499,0.09064000036563952,0.5138449533538486,0.412241255998288,0.5760655419818212,9181763.589320056,3696.060323039075,2045.9946367968678,26632419419.532104,0.2671923131449865,0.9802431610942248,0.5181935919504687
"(1900.0, 1950.0]",1900.0644,1949.9204,329,0.0,1.0,0.0,0.0,0.77734892078443,0.11132553960778502,,0.4067999181935777,,4608.943421470819,,,,0.25,0.5063921304551927
"(1800.0, 1850.0]",1800.0484,1849.9044,329,0.0,1.0,0.0,0.0,0.8222330534730434,0.08888347326347829,,0.6509882410993711,,3728.488038120693,,,,0.25,0.49768274460562806
"(1250.0, 1300.0]",1250.1124,1299.9684,329,0.0,1.0,1.0,0.0,0.7718258592537061,0.3737437411515916,,0.7379491359439155,,2144.843409446526,821.2409102978697,,0.41403667979005637,0.5,0.49441280298871665
"(750.0, 800.0]",750.0324,799.8884,329,0.0,1.0,1.0,0.0,0.555758514331598,0.1452469903466011,,0.6600399462719857,,2253.704360731534,1034.288913873206,,0.37017200141822226,0.5,0.4938862358863807
"(1200.0, 1250.0]",1200.1044,1249.9604,329,0.0,1.0,1.0,0.0,0.7308131702794607,0.3387594570570327,,0.7576854813963586,,2160.173502788469,844.4832408677302,,0.4104177651163488,0.5,0.4891828530188228
"(1450.0, 1500.0]",1450.1444,1499.8484,328,0.0,1.0,1.0,0.0,0.7218432736611506,0.4809448564682567,,0.45185431522637115,,2032.279932216856,762.8689365790511,,0.41846942327556036,0.5,0.4890864155989992
"(1750.0, 1800.0]",1750.0404,1799.8964,329,0.0,1.0,0.0,0.0,0.7615522807142389,0.11922385964288057,,0.5316974905089572,,3403.4083540199963,,,,0.25,0.48837354919908793
"(1550.0, 1600.0]",1550.0084,1599.8644,329,0.0,1.0,0.8632218844984803,0.0,0.5137187825529872,0.26241103876127614,,0.32271577132478085,,2176.641579385664,904.3316913876558,,0.38868256893028647,0.46580547112462006,0.4834175520908994
"(1850.0, 1900.0]",1850.0564,1899.9124,329,0.0,1.0,0.0,0.0,0.7718308057393242,0.11408459713033792,,0.6328848307541418,,4122.2267038120635,,,,0.25,0.4818522989333493
"(1600.0, 1650.0]",1600.0164,1649.8724,329,0.0,1.0,0.0,0.0,0.7094418625446101,0.14527906872769497,,0.4179417075051865,,2697.768436723882,,,,0.25,0.48151048114009487
"(1500.0, 1550.0]",1500.0004,1549.8564,329,0.0,1.0,1.0,0.0,0.6131205146081321,0.3540141772152591,,0.5265120343438522,,2168.7197517825957,866.9826779483227,,0.40880859960974625,0.5,0.479826089774596
"(1350.0, 1400.0]",1350.1284,1399.9844,329,0.0,1.0,1.0,0.0,0.6826834004327065,0.5597838859578027,,0.29990175433657035,,1960.078801992104,738.295264994955,,0.41752136330466405,0.5,0.47872389748295907
"(349.999, 400.0]",372.0084,399.9764,185,0.0,0.0,0.0,0.0,0.875781106886716,0.052545378825474054,,0.3328479672398471,,,,,,0.0,0.4751514042325995
"(1300.0, 1350.0]",1300.1204,1349.9764,329,0.0,1.0,1.0,0.0,0.6474141236054509,0.5503038638879714,,0.28532292716223395,,1956.640749074346,744.3708281482342,,0.41654270520201714,0.5,0.473260465407545
"(400.0, 450.0]",400.1284,449.9844,329,0.0,0.9604863221884499,0.817629179331307,0.0,0.6327231197328378,0.4855802393786197,,0.25948003429888417,,1853.017967768987,747.3811579586674,,0.404834356826263,0.44452887537993924,0.46847539124157883
"(1100.0, 1150.0]",1100.0884,1149.9444,329,0.0,1.0,1.0,0.0,0.6467553564045531,0.3911110662557693,,0.7135146220871584,,2190.4281337463817,854.4062028450618,,0.4133899477614962,0.5,0.4621151636412686
"(1650.0, 1700.0]",1650.0244,1699.8804,329,0.0,1.0,0.0,0.0,0.6512682552642505,0.17436587236787476,,0.5287969187219104,,2898.0562347668583,,,,0.25,0.4500641974702967
"(1400.0, 1450.0]",1400.1364,1449.9924,329,0.0,1.0,1.0,0.0,0.653127760067994,0.5586838218919217,,0.5171001018126199,,1989.945240855955,742.2308661592289,,0.4198732520929726,0.5,0.44983516545735214
"(900.0, 950.0]",900.0564,949.9124,329,0.0,1.0,0.9726443768996961,0.0,0.5048846371970651,0.5608381083358913,,0.2807122082551664,,1902.2329369506003,731.7804370015351,,0.4135107617879563,0.49316109422492405,0.4339306450740486
"(450.0, 500.0]",450.1364,499.9924,329,0.0,1.0,0.7355623100303952,0.0,0.5179271113440193,0.39114923024741716,,0.4832498282549781,,1930.4457946850582,766.7810326660921,,0.4085107908390594,0.4338905775075988,0.43309412221330323
"(1150.0, 1200.0]",1150.0964,1199.9524,329,0.0,1.0,1.0,0.0,0.5993740491381789,0.4886463128969088,,0.8397613486547661,,2217.70554199604,806.534914491183,,0.422189490137251,0.5,0.4181381148396864
"(1700.0, 1750.0]",1700.0324,1749.8884,329,0.0,1.0,0.0,0.0,0.538685364044343,0.2326049323876337,,0.4927822192893814,,3130.4685679308254,,,,0.25,0.4138721326046209
"(500.0, 550.0]",500.1444,549.8484,328,0.0,1.0,0.7317073170731707,0.0,0.3775812231964838,0.31996496993913986,,0.5285229928475912,,1934.0758929668086,808.2760466213051,,0.39688599400195423,0.4329268292682927,0.4074280613070217
"(1950.0, 2000.0]",1950.0724,1999.9284,329,0.0,1.0,0.10030395136778116,0.0,0.17199947144476624,0.5,,0.24808747316329582,,5177.524287570237,1144.7775791865067,,0.4679229400231801,0.2750759878419453,0.3007139168974456
